# Skill Index

This index lists every mirrored skill in the bundle. The description comes from each skill's frontmatter, and the usage note is a short operational summary for the skill creator.

| Source | Skill | Description | How To Use | Path |
| --- | --- | --- | --- | --- |
| agents | adk | a set of guidelines to build with Botpress's Agent Development Kit (ADK) - use these whenever you're tasked with building a feature using the ADK | Open the skill when the task matches its trigger description. Read SKILL.md first, then follow the workflow and only load bundled resources if the task needs them. It ships with references. | `agents/adk/SKILL.md` |
| agents | adversarial-evaluator | Continuous red-teaming for OmegA. Automatically generates persona-injection attacks and constraint-traps based on TSO violation patterns. | Open the skill when the task matches its trigger description. Read SKILL.md first, then follow the workflow and only load bundled resources if the task needs them. It is a self-contained guidance skill. | `agents/adversarial-evaluator/SKILL.md` |
| universal | agent-mesh-health-check | Universal meta-skill for verifying the connectivity and health of the agent mesh. Use this when you suspect a sub-agent is offline, a webhook is failing, or the mesh isn't synchronizing. | Open this skill for high-level coordination logic. It provides the procedural instructions to orchestrate, sync, and check the health of the multi-agent mesh. | `universal/agent-mesh-health-check/SKILL.md` |
| universal | shared-state-sync | Universal meta-skill for synchronizing global state and briefing history across multiple CLI agents. Use this to catch up on what other agents have been doing in ERGON.md, TELOS.md, and project logs. | Open this skill for high-level coordination logic. It provides the procedural instructions to orchestrate, sync, and check the health of the multi-agent mesh. | `universal/shared-state-sync/SKILL.md` |
| universal | multi-agent-orchestrator | Expert coordination layer for delegating complex tasks to the best-fit CLI agent. Use when starting a new large-scale objective to partition work across Aider, , Codex, and Claude. | Open this skill for high-level coordination logic. It provides the procedural instructions to orchestrate, sync, and check the health of the multi-agent mesh. | `universal/multi-agent-orchestrator/SKILL.md` |
| universal | skill-bootstrapper | Universal bootstrapper for importing and adapting skills from this shared bundle into any agent's native environment. Use this first to enable your agent to 'learn', translate, and install all other skills in the catalog for their own platform. | Open this skill first when entering this shared bundle. It provides the procedural instructions to ingest, translate, and activate all other skills listed in the catalog for your own agent platform. | `universal/skill-bootstrapper/SKILL.md` |
| agents | autonomous-researcher | Autonomous research agent using ADCCL verification. | Open the skill when the task matches its trigger description. Read SKILL.md first, then follow the workflow and only load bundled resources if the task needs them. It is a self-contained guidance skill. | `agents/autonomous-researcher/SKILL.md` |
| agents | backend-dev-guidelines | Comprehensive backend development guide for Langfuse's Next.js 14/tRPC/Express/TypeScript monorepo. Use when creating tRPC routers, public API endpoints, BullMQ queue processors, services, or working with tRPC procedures, Next.js API routes, Prisma database access, ClickHouse analytics queries, Redis queues, OpenTelemetry instrumentation, Zod v4 validation, env.mjs configuration, tenant isolation patterns, or async patterns. Covers layered architecture (tRPC procedures → services, queue processors → services), dual database system (PostgreSQL + ClickHouse), projectId filtering for multi-tenant isolation, traceException error handling, observability patterns, and testing strategies (Jest for web, vitest for worker). | Open the skill when the task matches its trigger description. Read SKILL.md first, then follow the workflow and only load bundled resources if the task needs them. It is a self-contained guidance skill. | `agents/backend-dev-guidelines/SKILL.md` |
| agents | backend-development | Use this skill for ANY task in a Node.js/TypeScript or Go backend codebase — adding features, fixing bugs, refactoring, adding flows, modifying handlers, changing business logic, or writing new code. Trigger even when the task is vague like "add the flow to this", "implement this feature", "fix this", or "add X like Y" — if the project has go.mod, nest-cli.json, express routes, or server-side TypeScript, this skill applies. Covers REST APIs, PostgreSQL, Redis, authentication, job queues, events, microservices, Docker, CI/CD, Clean Architecture, SOLID, DRY, and code reuse patterns. When in doubt whether this is backend work, use this skill. | Open the skill when the task matches its trigger description. Read SKILL.md first, then follow the workflow and only load bundled resources if the task needs them. It ships with references. | `agents/backend-development/SKILL.md` |
